date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:54	14972/14972	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:52%20GMT	http://blogs.pingpoet.com/VBGuru/archive/2006/08/14/25684.aspx	./httrack/blogs.pingpoet.com/VBGuru/archive/2006/08/14/25684.html	(from http://blogs.pingpoet.com/)
21:23:55	68226/68226	U-----	200	untouched ('')	text/xml	etag:01/01/0001%2000:00:00	http://blogs.pingpoet.com/overflow/Rss.aspx	./httrack/blogs.pingpoet.com/overflow/Rss.aspx	(from http://blogs.pingpoet.com/overflow/)
21:23:55	872/872	U-----	200	untouched ('OK')	text/css	etag:%220a6df4b6fc4c61:0%22	http://blogs.pingpoet.com/skins/_System/csharp.css	./httrack/blogs.pingpoet.com/skins/_System/csharp.css	(from http://blogs.pingpoet.com/overflow/)
21:23:55	3366/3366	U-----	200	untouched ('OK')	text/css	etag:%220b25ff2db9c91:0%22	http://blogs.pingpoet.com/skins/_System/commonstyle.css	./httrack/blogs.pingpoet.com/skins/_System/commonstyle.css	(from http://blogs.pingpoet.com/overflow/)
21:23:55	0/-1	---M--	301	error ('')			http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.a.delayed	(from http://blogs.pingpoet.com/thoughtChain/)
21:23:56	1854/1854	U-----	200	untouched ('OK')	text/css	etag:%220b25ff2db9c91:0%22	http://blogs.pingpoet.com/skins/_System/commonlayout.css	./httrack/blogs.pingpoet.com/skins/_System/commonlayout.css	(from http://blogs.pingpoet.com/overflow/)
21:23:56	50/50	U-----	200	untouched ('OK')	text/css	etag:%220f21a476fc4c61:0%22	http://blogs.pingpoet.com/Skins/Piyo/piyo-fixed.css	./httrack/blogs.pingpoet.com/Skins/Piyo/piyo-fixed.css	(from http://blogs.pingpoet.com/overflow/)
21:23:56	54/54	U-----	200	untouched ('OK')	text/css	etag:%220f21a476fc4c61:0%22	http://blogs.pingpoet.com/Skins/Piyo/piyo-elastic.css	./httrack/blogs.pingpoet.com/Skins/Piyo/piyo-elastic.css	(from http://blogs.pingpoet.com/overflow/)
21:23:56	0/-1	---M--	301	error ('')			http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.b.delayed	(from http://blogs.pingpoet.com/thoughtChain/)
21:23:56	2433/-1	---M--	500	error ('500%20Internal%20Server%20Error')	text/html	date:Mon,%2007%20May%202018%2004:23:54%20GMT	http://blogs.pingpoet.com/MainFeed.aspx	./httrack/blogs.pingpoet.com/MainFeed.html	(from http://blogs.pingpoet.com/)
21:23:56	623/623	U-----	200	untouched ('OK')	text/css	etag:%220f21a476fc4c61:0%22	http://blogs.pingpoet.com/Skins/Piyo/print.css	./httrack/blogs.pingpoet.com/Skins/Piyo/print.css	(from http://blogs.pingpoet.com/overflow/)
21:23:56	12217/12217	U-----	200	untouched ('OK')	text/css	etag:%220f21a476fc4c61:0%22	http://blogs.pingpoet.com/skins/Piyo/style.css	./httrack/blogs.pingpoet.com/skins/Piyo/style.css	(from http://blogs.pingpoet.com/overflow/)
21:23:56	2201/2201	U--M-Z	200	updated ('OK')	text/css	date:Mon,%2007%20May%202018%2004:23:56%20GMT	http://blogs.pingpoet.com/overflow/customcss.aspx	./httrack/blogs.pingpoet.com/overflow/customcss.css	(from http://blogs.pingpoet.com/overflow/)
21:23:57	4179/4179	U-----	200	untouched ('OK')	application/x-javascript	etag:%220b25ff2db9c91:0%22	http://blogs.pingpoet.com/Scripts/common.js	./httrack/blogs.pingpoet.com/Scripts/common.js	(from http://blogs.pingpoet.com/overflow/)
21:23:57	816/816	U-----	200	untouched ('OK')	application/x-javascript	etag:%220b25ff2db9c91:0%22	http://blogs.pingpoet.com/Scripts/tableEffects.js	./httrack/blogs.pingpoet.com/Scripts/tableEffects.js	(from http://blogs.pingpoet.com/overflow/)
21:23:57	1038/1038	U-----	200	untouched ('OK')	application/x-javascript	etag:%22049c15d6fc4c61:0%22	http://blogs.pingpoet.com/Scripts/BlogInfo.js	./httrack/blogs.pingpoet.com/Scripts/BlogInfo.js	(from http://blogs.pingpoet.com/overflow/)
